"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16793","ONEVIEW-804: Verify removing a card does not affect other users @regression","chromium","Mon May 18 11:54:07 IST 2026","passed","Mon May 18 11:54:24 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","19304","ONEVIEW-777: Verify immediate visual feedback on Add action @regression","chromium","Mon May 18 11:44:47 IST 2026","passed","Mon May 18 11:45:07 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","26600","ONEVIEW-794: Verify fixed cards do not appear in Remove list @regression","chromium","Mon May 18 11:53:02 IST 2026","passed","Mon May 18 11:53:29 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","15937","ONEVIEW-767: Verify card selection panel opens on Add Cards click @regression","chromium","Mon May 18 11:43:37 IST 2026","passed","Mon May 18 11:43:53 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","24045","ONEVIEW-820: Verify Restore Layout dropdown shows only Default Layout when Preferred Layout is active @regression","chromium","Mon May 18 11:50:15 IST 2026","passed","Mon May 18 11:50:39 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
"","20402","ONEVIEW-806: Verify Save confirmation prompt appears on Save click @smoke","smoke","Mon May 18 11:42:34 IST 2026","passed","Mon May 18 11:42:54 IST 2026","Phase-2 > Preferred Layout UI > Smoke - Preferred Layout UI","smokePhase-2\PreferredLayout.spec.js","",""
"","20215","ONEVIEW-851: Verify Add button changes to Remove after adding @smoke","smoke","Mon May 18 11:42:35 IST 2026","passed","Mon May 18 11:42:55 IST 2026","Phase-2 > Add Cards > Smoke - Add Cards","smokePhase-2\AddCards.spec.js","",""
"","17198","ONEVIEW-716: Verify Add Cards side drawer UI @regression","chromium","Mon May 18 11:47:36 IST 2026","passed","Mon May 18 11:47:53 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","15693","ONEVIEW-722: Verify dashboard layout responsiveness across supported screen sizes @regression","chromium","Mon May 18 11:47:54 IST 2026","passed","Mon May 18 11:48:10 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","29058","ONEVIEW-801: Verify drag handle is removed when card is removed @regression","chromium","Mon May 18 11:53:38 IST 2026","passed","Mon May 18 11:54:07 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","19496","ONEVIEW-774: Verify Remove button state styling after Add @regression","chromium","Mon May 18 11:44:26 IST 2026","passed","Mon May 18 11:44:45 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","11877","ONEVIEW-709: Verify Edit Layout button cursor and focus states @regression","chromium","Mon May 18 11:46:59 IST 2026","passed","Mon May 18 11:47:11 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","25722","ONEVIEW-802: Verify Remove button responsiveness across supported screen sizes @regression","chromium","Mon May 18 11:53:43 IST 2026","passed","Mon May 18 11:54:09 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","18676","ONEVIEW-741: Verify star/favorite icon does not display on dashboard cards @regression","chromium","Mon May 18 11:49:19 IST 2026","passed","Mon May 18 11:49:37 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","20479","ONEVIEW-737: Verify Save button disabled state when no changes made @regression","chromium","Mon May 18 11:49:00 IST 2026","passed","Mon May 18 11:49:21 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","21263","ONEVIEW-778: Verify card icons and visual identity in the panel @regression","chromium","Mon May 18 11:44:45 IST 2026","passed","Mon May 18 11:45:06 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","887","ONEVIEW-838: Verify drag handle cursor appears on configurable cards in Edit Mode @regression","chromium","Mon May 18 11:45:29 IST 2026","skipped","Mon May 18 11:45:30 IST 2026","Phase-2 > Drag & Drop > Drag & Drop - Regression @regression","regressionPhase-2\DragAndDrop.spec.js","",""
"","14895","ONEVIEW-723: Verify card spacing and alignment in different layouts @regression","chromium","Mon May 18 11:47:55 IST 2026","passed","Mon May 18 11:48:10 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","21749","ONEVIEW-735: Verify Restore Preferred Layout confirmation popup exact content @regression","chromium","Mon May 18 11:48:46 IST 2026","passed","Mon May 18 11:49:08 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","20938","ONEVIEW-835: Verify first-time user sees Default Layout with no Preferred Layout saved @regression","chromium","Mon May 18 11:51:38 IST 2026","passed","Mon May 18 11:51:59 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
"","18238","ONEVIEW-748: Verify card list item layout in drawer @regression","chromium","Mon May 18 11:45:49 IST 2026","passed","Mon May 18 11:46:07 IST 2026","Phase-2 > Drawer Component > Drawer Component - Regression @regression","regressionPhase-2\DrawerComponent.spec.js","",""
"","23499","ONEVIEW-797: Verify immediate visual feedback on Remove action @regression","chromium","Mon May 18 11:53:09 IST 2026","passed","Mon May 18 11:53:33 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","15882","ONEVIEW-856: Verify 30/70 two-column layout selection and column structure @regression","chromium","Mon May 18 11:49:25 IST 2026","passed","Mon May 18 11:49:41 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","20819","ONEVIEW-823: Verify Default Layout is applied on Restore Default confirmation @regression","chromium","Mon May 18 11:50:27 IST 2026","passed","Mon May 18 11:50:48 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
"","21082","ONEVIEW-780: Verify visual state of added card matches existing dashboard cards @regression","chromium","Mon May 18 11:44:46 IST 2026","passed","Mon May 18 11:45:08 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","18224","ONEVIEW-787: Verify Remove button styling @regression","chromium","Mon May 18 11:52:22 IST 2026","passed","Mon May 18 11:52:40 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","16641","ONEVIEW-757: Verify drawer close via close (×) icon @regression","chromium","Mon May 18 11:46:25 IST 2026","passed","Mon May 18 11:46:42 IST 2026","Phase-2 > Drawer Component > Drawer Component - Regression @regression","regressionPhase-2\DrawerComponent.spec.js","",""
"","17321","ONEVIEW-728: Verify 5 layout toggle icons in Edit Dashboard header @regression","chromium","Mon May 18 11:48:27 IST 2026","passed","Mon May 18 11:48:44 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","21144","ONEVIEW-779: Verify panel remains open after adding a card @regression","chromium","Mon May 18 11:44:45 IST 2026","passed","Mon May 18 11:45:06 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","14779","ONEVIEW-720: Verify Save and Cancel button styling in Edit Mode @regression","chromium","Mon May 18 11:47:53 IST 2026","passed","Mon May 18 11:48:08 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","11982","ONEVIEW-708: Verify Edit Layout option styling and label in Profile menu @regression","chromium","Mon May 18 11:46:57 IST 2026","passed","Mon May 18 11:47:09 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","26702","ONEVIEW-781: Verify added cards persist visually after Save and re-login @regression","chromium","Mon May 18 11:45:06 IST 2026","passed","Mon May 18 11:45:33 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","1204","ONEVIEW-842: Verify fixed cards (Demographics, Care Management) cannot be dragged or dropped @regression","chromium","Mon May 18 11:45:32 IST 2026","skipped","Mon May 18 11:45:33 IST 2026","Phase-2 > Drag & Drop > Drag & Drop - Regression @regression","regressionPhase-2\DragAndDrop.spec.js","",""
"","18181","ONEVIEW-814: Verify Save button becomes enabled after layout modification @regression","chromium","Mon May 18 11:49:41 IST 2026","passed","Mon May 18 11:49:59 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
