"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12863","ONEVIEW-846: Verify Cancel exits Edit Mode without saving @smoke","smoke","Fri May 01 14:37:01 IST 2026","passed","Fri May 01 14:37:14 IST 2026","Phase-2 > Edit Layout > Smoke - Edit Layout","smokePhase-2\EditLayout.spec.js","",""
"","16539","ONEVIEW-713: Verify card visual feedback during drag-and-drop @regression","chromium","Fri May 01 14:44:26 IST 2026","passed","Fri May 01 14:44:43 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","19235","ONEVIEW-755: Verify drawer reflects real-time layout changes @regression","chromium","Fri May 01 14:42:42 IST 2026","passed","Fri May 01 14:43:01 IST 2026","Phase-2 > Drawer Component > Drawer Component - Regression @regression","regressionPhase-2\DrawerComponent.spec.js","",""
"","24197","ONEVIEW-816: Verify layout is saved as Preferred Layout on confirmation @regression","chromium","Fri May 01 14:46:54 IST 2026","passed","Fri May 01 14:47:18 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
"","13332","ONEVIEW-805: Verify Save button is visible in Edit Mode @smoke","smoke","Fri May 01 14:37:18 IST 2026","passed","Fri May 01 14:37:32 IST 2026","Phase-2 > Preferred Layout UI > Smoke - Preferred Layout UI","smokePhase-2\PreferredLayout.spec.js","",""
"","15083","ONEVIEW-808: Verify Restore Layout dropdown is visible in Edit Mode @smoke","smoke","Fri May 01 14:37:59 IST 2026","passed","Fri May 01 14:38:14 IST 2026","Phase-2 > Preferred Layout UI > Smoke - Preferred Layout UI","smokePhase-2\PreferredLayout.spec.js","",""
"","15165","ONEVIEW-732: Verify cards in Add Cards drawer display in alphabetical order @regression","chromium","Fri May 01 14:45:44 IST 2026","passed","Fri May 01 14:45:59 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","15947","ONEVIEW-849: Verify drawer closes via the X icon @smoke","smoke","Fri May 01 14:36:05 IST 2026","passed","Fri May 01 14:36:21 IST 2026","Phase-2 > Drawer Component > Smoke - Drawer Component","smokePhase-2\DrawerComponent.spec.js","",""
"","12239","ONEVIEW-848: Verify drawer displays card list with Add and Remove buttons @smoke","smoke","Fri May 01 14:35:53 IST 2026","passed","Fri May 01 14:36:05 IST 2026","Phase-2 > Drawer Component > Smoke - Drawer Component","smokePhase-2\DrawerComponent.spec.js","",""
"","11697","ONEVIEW-847: Verify Add Cards drawer opens when Add Cards is clicked @smoke","smoke","Fri May 01 14:35:41 IST 2026","passed","Fri May 01 14:35:53 IST 2026","Phase-2 > Drawer Component > Smoke - Drawer Component","smokePhase-2\DrawerComponent.spec.js","",""
